kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Dogiyai,2022,192.14,55.72,1438.21,29.48,80.32,0.336
Deiyai,2022,211.21,50.42,1572.4,40.31,70.33,0.082
Nabire,2022,130.61,69.91,12592.0,23.9,28.68,0.317
Paniai,2022,208.96,57.14,4716.28,36.63,70.28,0.298
Intan Jaya,2022,405.9,49.25,1360.14,42.03,55.25,0.487
Puncak,2022,418.96,43.87,1613.75,36.25,39.51,0.345
Puncak Jaya,2022,373.95,49.84,1446.45,36.3,28.11,0.178
Nduga,2022,258.56,34.1,1413.28,36.73,13.88,0.255
Jayawijaya,2022,252.52,59.6,9166.04,35.8,30.4,0.158
Lanny Jaya,2022,285.18,49.62,2144.77,37.76,22.36,0.164
Tolikara,2022,287.34,50.51,1817.49,31.31,40.25,0.131
Mamberamo Tengah,2022,323.69,49.25,1286.91,35.92,20.15,0.152
Yalimo,2022,278.42,49.9,1440.01,31.68,26.29,0.189
Yahukimo,2022,163.3,50.25,2694.33,36.21,48.9,0.389
Pegunungan Bintang,2022,335.81,47.21,2202.88,30.32,17.85,0.379
