kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Malang,2020,106.99,70.36,102027.83,10.15,10.59,0.305
Lumajang,2020,101.47,65.46,32062.01,9.83,11.29,0.392
Jember,2020,105.46,67.11,76039.98,10.09,9.72,0.424
Banyuwangi,2020,107.36,70.62,81102.88,8.06,10.32,0.257
Bondowoso,2020,97.63,66.43,19935.59,14.17,13.64,0.487
Situbondo,2020,96.97,67.38,20041.85,12.22,15.49,0.379
Probolinggo,2020,102.12,66.07,33721.07,18.61,9.74,0.504
Pasuruan,2020,105.68,68.6,145592.02,9.26,8.56,0.297
Sidoarjo,2020,111.38,80.29,197240.69,5.59,4.09,0.143
Mojokerto,2020,98.92,73.83,81940.86,10.57,5.93,0.237
Jombang,2020,101.79,72.97,39870.88,9.94,8.95,0.207
Nganjuk,2020,100.84,71.72,26601.16,11.62,9.74,0.196
Madiun,2020,100.7,71.73,19166.56,11.46,10.71,0.146
Magetan,2020,101.97,73.92,18771.76,10.35,9.05,0.179
Ngawi,2020,100.86,70.54,20270.97,15.44,12.75,0.172
Bojonegoro,2020,101.49,69.04,70258.51,12.87,8.74,0.291
Tuban,2020,102.06,68.4,62323.07,15.91,10.26,0.266
Lamongan,2020,107.85,72.58,39169.59,13.85,6.02,0.233
Gresik,2020,117.07,76.11,134268.56,12.4,4.43,0.162
Bangkalan,2020,107.4,64.11,23290.01,20.56,7.39,0.313
Sampang,2020,105.11,62.7,19842.57,22.78,7.8,0.333
Pamekasan,2020,103.54,66.26,16793.85,14.6,9.83,0.335
Sumenep,2020,105.67,66.43,32750.24,20.18,8.06,0.384
Kota Kediri,2020,98.61,78.23,132406.06,7.69,7.19,0.127
Kota Blitar,2020,99.01,78.57,6708.14,7.78,5.44,0.151
Kota Malang,2020,104.41,81.45,72163.19,4.44,5.31,0.119
Kota Probolinggo,2020,96.16,73.27,11074.5,7.43,5.9,0.241
Kota Pasuruan,2020,102.37,75.26,8047.23,6.66,5.55,0.206
Kota Mojokerto,2020,100.39,78.04,6588.06,6.24,5.61,0.109
Kota Madiun,2020,101.5,80.91,13519.88,4.98,5.89,0.062
Kota Surabaya,2020,111.62,82.23,554509.46,5.02,3.82,0.161
Kota Batu,2020,102.92,75.9,15916.8,3.89,5.33,0.24
Pandeglang,2020,94.99,65.0,28371.05,9.92,3.6,0.402
Lebak,2020,90.46,63.91,29055.01,9.24,3.14,0.426
Tangerang,2020,101.41,71.92,135731.68,6.23,1.84,0.245
Serang,2020,94.35,66.7,75880.72,4.94,2.44,0.311
Kota Tangerang,2020,101.49,78.25,143022.76,5.22,1.42,0.154
Kota Cilegon,2020,97.72,73.05,102731.77,3.69,2.02,0.191
Kota Serang,2020,92.88,72.16,31666.09,6.06,1.29,0.277
