kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Bojonegoro,2021,101.23
Tuban,2021,102.72
Lamongan,2021,106.3
Gresik,2021,113.73
Bangkalan,2021,106.63
Sampang,2021,101.19
Pamekasan,2021,105.66
Sumenep,2021,108.63
Kota Kediri,2021,96.43
Kota Blitar,2021,96.32
Kota Malang,2021,100.77
Kota Probolinggo,2021,91.72
Kota Pasuruan,2021,98.19
Kota Mojokerto,2021,100.56
Kota Madiun,2021,97.24
Kota Surabaya,2021,107.49
Kota Batu,2021,99.32
Pandeglang,2021,87.54
Lebak,2021,86.18
Tangerang,2021,104.9
Serang,2021,96.66
Kota Tangerang,2021,105.17
Kota Cilegon,2021,98.44
Kota Serang,2021,98.15
Kota Tangerang Selatan,2021,106.23
Jembrana,2021,103.86
Tabanan,2021,99.21
Badung,2021,106.58
Gianyar,2021,97.44
Klungkung,2021,106.57
Bangli,2021,106.29
Karangasem,2021,101.91
Buleleng,2021,100.39
Kota Denpasar,2021,106.8
Lombok Barat,2021,98.8
Lombok Tengah,2021,102.1
Lombok Timur,2021,105.61
Sumbawa,2021,96.64
Dompu,2021,101.44
Bima,2021,107.49
Sumbawa Barat,2021,100.01
Lombok Utara,2021,97.38
Kota Mataram,2021,103.75
Kota Bima,2021,106.74
Sumba Barat,2021,96.14
Sumba Timur,2021,95.74
Kupang,2021,83.75
Timor Tengah Selatan,2021,91.57
Timor Tengah Utara,2021,83.12
Belu,2021,81.46
Alor,2021,101.01
Lembata,2021,100.28
Flores Timur,2021,99.77
Sikka,2021,88.62
Ende,2021,89.25
Ngada,2021,93.08
Manggarai,2021,101.18
Rote Ndao,2021,98.55
Manggarai Barat,2021,100.14
Sumba Tengah,2021,93.92
Sumba Barat Daya,2021,94.4
Nagekeo,2021,87.99
Manggarai Timur,2021,100.39
Sabu Raijua,2021,111.63
Malaka,2021,81
Kota Kupang,2021,92.44
Sambas,2021,110.05
Bengkayang,2021,110.39
Landak,2021,113.52
Mempawah,2021,106.1
Sanggau,2021,114.48
Ketapang,2021,105.43
Sintang,2021,118.51
Kapuas Hulu,2021,124.26
Sekadau,2021,107.42
Melawi,2021,116.18
Kayong Utara,2021,113.27
Kubu Raya,2021,104.42
Kota Pontianak,2021,104.09
Kota Singkawang,2021,114.12
Kotawaringin Barat,2021,101.01
Kotawaringin Timur,2021,97.65
Kapuas,2021,95.99
Barito Selatan,2021,94.82
Barito Utara,2021,100.82
Sukamara,2021,110.98
Lamandau,2021,108.86
Seruyan,2021,107.28
Katingan,2021,96.5
Pulang Pisau,2021,97.65
Gunung Mas,2021,106.23
Barito Timur,2021,97.17
Murung Raya,2021,111.12
Kota Palangka Raya,2021,96.78
Tanah Laut,2021,92.93
Kotabaru,2021,97.21
Banjar,2021,97.78
Barito Kuala,2021,102.36
Tapin,2021,98.09
Hulu Sungai Selatan,2021,98.22
Hulu Sungai Tengah,2021,99.14
Hulu Sungai Utara,2021,100.22
Tabalong,2021,104.97
Tanah Bumbu,2021,96.92
Balangan,2021,107.35
Kota Banjarmasin,2021,99.72
Kota Banjar Baru,2021,96.21
Paser,2021,105.15
Kutai Barat,2021,116.95
Kutai Kartanegara,2021,106.12
Kutai Timur,2021,110.05
Berau,2021,105.74
Penajam Paser Utara,2021,106.12
