kabupaten,tahun,PDRB
Kaur,2021,3900.87
Seluma,2021,5053.6
Mukomuko,2021,5693.09
Lebong,2021,3627.78
Kepahiang,2021,4748.46
Bengkulu Tengah,2021,5466.24
Kota Bengkulu,2021,24974.92
Lampung Barat,2021,7477.51
Tanggamus,2021,16316.87
Lampung Selatan,2021,46090.82
Lampung Timur,2021,43817.61
Lampung Tengah,2021,74339.95
Lampung Utara,2021,24941.07
Way Kanan,2021,14661.87
Tulangbawang,2021,24166.26
Pesawaran,2021,16814.58
Pringsewu,2021,11659.05
Mesuji,2021,10878.96
Tulang Bawang Barat,2021,11960.55
Pesisir Barat,2021,4892.04
Kota Bandar Lampung,2021,61480.56
Kota Metro,2021,6565.45
Bangka,2021,16166.01
Belitung,2021,11011.04
Bangka Barat,2021,15431.57
Bangka Tengah,2021,9372.1
Bangka Selatan,2021,9776.17
Belitung Timur,2021,8882.48
Kota Pangkal Pinang,2021,15375.99
Karimun,2021,14195.74
Bintan,2021,21251.13
Natuna,2021,20870.16
Lingga,2021,4499.27
Kepulauan Anambas,2021,16697.53
Kota Batam,2021,172843.9
Kota Tanjung Pinang,2021,20099.37
Kep. Seribu,2021,8154.31
Kota Jakarta Selatan,2021,668389.16
Kota Jakarta Timur,2021,500418.64
Kota Jakarta Pusat,2021,728051.11
Kota Jakarta Barat,2021,493811.25
Kota Jakarta Utara,2021,535983.61
Bogor,2021,248892.48
Sukabumi,2021,70738.04
Cianjur,2021,50137.66
Bandung,2021,130476.83
Garut,2021,60836.39
Tasikmalaya,2021,39285.64
Ciamis,2021,33688.05
Kuningan,2021,26919.1
Cirebon,2021,52309.94
Majalengka,2021,34157
Sumedang,2021,37061.77
Indramayu,2021,81594.85
Subang,2021,42292.91
Purwakarta,2021,70778.25
Karawang,2021,243713.32
Bekasi,2021,340389.97
Bandung Barat,2021,48764.31
Pangandaran,2021,12129.69
Kota Bogor,2021,48325.64
Kota Sukabumi,2021,13053.04
Kota Bandung,2021,297116.26
Kota Cirebon,2021,24506.59
Kota Bekasi,2021,101383.36
Kota Depok,2021,74382.34
Kota Cimahi,2021,34244.47
Kota Tasikmalaya,2021,22844.02
Kota Banjar,2021,4661.08
Cilacap,2021,109653.6
Banyumas,2021,56919.82
Purbalingga,2021,26393.81
Banjarnegara,2021,22827.89
Kebumen,2021,29563.14
Purworejo,2021,19602.72
Wonosobo,2021,19856.86
Magelang,2021,34176.31
Boyolali,2021,34896.96
Klaten,2021,42271.26
Sukoharjo,2021,38990.46
Wonogiri,2021,30581.45
Karanganyar,2021,39157.21
Sragen,2021,40087.78
Grobogan,2021,28815.02
Blora,2021,26928.61
Rembang,2021,20071.1
Pati,2021,45565.94
Kudus,2021,108724.52
Jepara,2021,32045.7
Demak,2021,27649.98
Semarang,2021,51796.32
Temanggung,2021,22627.79
Kendal,2021,45164.8
Batang,2021,23125.76
Pekalongan,2021,24030.3
Pemalang,2021,27443.89
Tegal,2021,37334.99
Brebes,2021,48966.24
Kota Magelang,2021,9178.75
Kota Surakarta,2021,50371.56
Kota Salatiga,2021,14008.91
Kota Semarang,2021,204871
Kota Pekalongan,2021,11460.58
Kota Tegal,2021,16017.04
Kulon Progo,2021,12642.56
Bantul,2021,28126.17
Gunung Kidul,2021,20430.52
Sleman,2021,49403.24
Kota Yogyakarta,2021,38541.36
Pacitan,2021,16381.24
Ponorogo,2021,21350.01
Trenggalek,2021,19198.25
Tulungagung,2021,40166.67
Blitar,2021,37819.73
Kediri,2021,42692.71
Malang,2021,107036.38
Lumajang,2021,33678.62
Jember,2021,81068.84
Banyuwangi,2021,85918.57
Bondowoso,2021,21052.23
Situbondo,2021,21200.85
Probolinggo,2021,35605.52
Pasuruan,2021,157150.73
Sidoarjo,2021,210650.18
Mojokerto,2021,87145.02
Jombang,2021,41747.22
Nganjuk,2021,28053.33
Madiun,2021,20024.41
Magetan,2021,19587.87
Ngawi,2021,20814.46
Bojonegoro,2021,84200.91
Tuban,2021,65911.73
Lamongan,2021,41042.89
Gresik,2021,144656.07
Bangkalan,2021,24756.71
Sampang,2021,20638.85
Pamekasan,2021,17659.22
Sumenep,2021,35300.16
Kota Kediri,2021,141467.12
Kota Blitar,2021,7113.6
Kota Malang,2021,76617.34
Kota Probolinggo,2021,11699.9
Kota Pasuruan,2021,8491.13
Kota Mojokerto,2021,6935.63
Kota Madiun,2021,14435.43
Kota Surabaya,2021,590227.12
Kota Batu,2021,16841.14
Pandeglang,2021,29869.92
Lebak,2021,30830.2
Tangerang,2021,145283.68
Serang,2021,80231.26
Kota Tangerang,2021,150156.86
Kota Cilegon,2021,110495
Kota Serang,2021,33503.98
Kota Tangerang Selatan,2021,88065.8
Jembrana,2021,13510.63
Tabanan,2021,22021.14
Badung,2021,44882.08
Gianyar,2021,25788.23
Klungkung,2021,8534.43
Bangli,2021,6825.56
Karangasem,2021,16506.62
Buleleng,2021,33363.29
Kota Denpasar,2021,49686.63
Lombok Barat,2021,15407.27
Lombok Tengah,2021,17686.6
Lombok Timur,2021,21053.67
Sumbawa,2021,15021.4
Dompu,2021,7338.57
Bima,2021,11856.96
Sumbawa Barat,2021,23758.07
Lombok Utara,2021,4706.6
Kota Mataram,2021,19691.61
Kota Bima,2021,4300.61
Sumba Barat,2021,2416.82
Sumba Timur,2021,6406.5
Kupang,2021,7988.62
Timor Tengah Selatan,2021,8243.25
Timor Tengah Utara,2021,4222.7
Belu,2021,4699.02
Alor,2021,3166.96
Lembata,2021,1912.15
Flores Timur,2021,5380.27
Sikka,2021,5317.52
Ende,2021,6314.66
Ngada,2021,3578.33
Manggarai,2021,4810.27
Rote Ndao,2021,3279.26
Manggarai Barat,2021,3611.64
Sumba Tengah,2021,1230.4
Sumba Barat Daya,2021,3888.12
Nagekeo,2021,2347.31
Manggarai Timur,2021,3412.9
Sabu Raijua,2021,1450.94
Malaka,2021,2929.9
Kota Kupang,2021,24410.23
Sambas,2021,22293.19
Bengkayang,2021,9318.53
Landak,2021,11614.17
Mempawah,2021,9084.51
Sanggau,2021,21678.77
Ketapang,2021,30911.32
Sintang,2021,15749.08
Kapuas Hulu,2021,11071.94
Sekadau,2021,7132.69
Melawi,2021,5626.6
