Kabupaten,Tahun,Persentase Penduduk Miskin (P0)
Rokan Hilir,2021,7.18
Kepulauan Meranti,2021,25.68
Kota Pekanbaru,2021,2.83
Kota Dumai,2021,3.42
Kerinci,2021,7.71
Merangin,2021,9.11
Sarolangun,2021,8.87
Batang Hari,2021,10.05
Muaro Jambi,2021,4.53
Tanjung Jabung Timur,2021,11.39
Tanjung Jabung Barat,2021,10.75
Tebo,2021,6.68
Bungo,2021,6.23
Kota Jambi,2021,9.02
Kota Sungai Penuh,2021,3.41
Ogan Komering Ulu,2021,12.62
Ogan Komering Ilir,2021,14.68
Muara Enim,2021,12.32
Lahat,2021,16.46
Musi Rawas,2021,13.89
Musi Banyuasin,2021,15.84
Banyu Asin,2021,10.75
Ogan Komering Ulu Selatan,2021,11.12
Ogan Komering Ulu Timur,2021,10.6
Ogan Ilir,2021,13.82
Empat Lawang,2021,13.35
Penukal Abab Lematang Ilir,2021,12.91
Musi Rawas Utara,2021,20.11
Kota Palembang,2021,11.34
Kota Prabumulih,2021,12.2
Kota Pagar Alam,2021,9.4
Kota Lubuklinggau,2021,13.23
Bengkulu Selatan,2021,18.16
Rejang Lebong,2021,15.85
Bengkulu Utara,2021,11.61
Kaur,2021,18.62
Seluma,2021,18.72
Mukomuko,2021,11.93
Lebong,2021,12
Kepahiang,2021,14.83
Bengkulu Tengah,2021,9.68
Kota Bengkulu,2021,17.89
Lampung Barat,2021,12.82
Tanggamus,2021,11.81
Lampung Selatan,2021,14.19
Lampung Timur,2021,15.08
Lampung Tengah,2021,11.99
Lampung Utara,2021,19.63
Way Kanan,2021,13.09
Tulangbawang,2021,9.67
Pesawaran,2021,15.11
Pringsewu,2021,10.11
Mesuji,2021,7.54
Tulang Bawang Barat,2021,8.32
Pesisir Barat,2021,14.81
Kota Bandar Lampung,2021,9.11
Kota Metro,2021,8.93
Bangka,2021,4.81
Belitung,2021,7.15
Bangka Barat,2021,2.75
Bangka Tengah,2021,5.13
Bangka Selatan,2021,3.69
Belitung Timur,2021,7.2
Kota Pangkal Pinang,2021,4.76
Karimun,2021,6.85
Bintan,2021,6.42
Natuna,2021,4.95
Lingga,2021,13.93
Kepulauan Anambas,2021,7.09
Kota Batam,2021,5.05
Kota Tanjung Pinang,2021,9.57
Kep. Seribu,2021,15.06
Kota Jakarta Selatan,2021,3.56
Kota Jakarta Timur,2021,4.28
Kota Jakarta Pusat,2021,4.94
Kota Jakarta Barat,2021,4.31
Kota Jakarta Utara,2021,7.24
Bogor,2021,8.13
Sukabumi,2021,7.7
Cianjur,2021,11.18
Bandung,2021,7.15
Garut,2021,10.65
Tasikmalaya,2021,11.15
Ciamis,2021,7.97
Kuningan,2021,13.1
Cirebon,2021,12.3
Majalengka,2021,12.33
Sumedang,2021,10.71
Indramayu,2021,13.04
Subang,2021,10.03
Purwakarta,2021,8.83
Karawang,2021,8.95
Bekasi,2021,5.21
Bandung Barat,2021,11.3
Pangandaran,2021,9.65
Kota Bogor,2021,7.24
Kota Sukabumi,2021,8.25
Kota Bandung,2021,4.37
Kota Cirebon,2021,10.03
Kota Bekasi,2021,4.74
Kota Depok,2021,2.58
Kota Cimahi,2021,5.35
Kota Tasikmalaya,2021,13.13
Kota Banjar,2021,7.11
Cilacap,2021,11.67
Banyumas,2021,13.66
Purbalingga,2021,16.24
Banjarnegara,2021,16.23
Kebumen,2021,17.83
Purworejo,2021,12.4
Wonosobo,2021,17.67
Magelang,2021,11.91
Boyolali,2021,10.62
Klaten,2021,13.49
Sukoharjo,2021,8.23
Wonogiri,2021,11.55
Karanganyar,2021,10.68
Sragen,2021,13.83
Grobogan,2021,12.74
Blora,2021,12.39
Rembang,2021,15.8
Pati,2021,10.21
Kudus,2021,7.6
Jepara,2021,7.44
Demak,2021,12.92
Semarang,2021,7.82
Temanggung,2021,10.17
Kendal,2021,10.24
Batang,2021,9.68
Pekalongan,2021,10.57
Pemalang,2021,16.56
Tegal,2021,8.6
Brebes,2021,17.43
Kota Magelang,2021,7.75
Kota Surakarta,2021,9.4
Kota Salatiga,2021,5.14
Kota Semarang,2021,4.56
Kota Pekalongan,2021,7.59
Kota Tegal,2021,8.12
Kulon Progo,2021,18.38
Bantul,2021,14.04
Gunung Kidul,2021,17.69
Sleman,2021,8.64
Kota Yogyakarta,2021,7.69
Pacitan,2021,15.11
Ponorogo,2021,10.26
Trenggalek,2021,12.14
Tulungagung,2021,7.51
Blitar,2021,9.65
Kediri,2021,11.64
Malang,2021,10.5
Lumajang,2021,10.05
Jember,2021,10.41
Banyuwangi,2021,8.07
Bondowoso,2021,14.73
Situbondo,2021,12.63
Probolinggo,2021,18.91
Pasuruan,2021,9.7
Sidoarjo,2021,5.93
Mojokerto,2021,10.62
Jombang,2021,10
Nganjuk,2021,11.85
Madiun,2021,11.91
Magetan,2021,10.66
Ngawi,2021,15.57
Bojonegoro,2021,13.27
Tuban,2021,16.31
Lamongan,2021,13.86
Gresik,2021,12.42
Bangkalan,2021,21.57
Sampang,2021,23.76
Pamekasan,2021,15.3
Sumenep,2021,20.51
Kota Kediri,2021,7.75
Kota Blitar,2021,7.89
Kota Malang,2021,4.62
Kota Probolinggo,2021,7.44
Kota Pasuruan,2021,6.88
Kota Mojokerto,2021,6.39
Kota Madiun,2021,5.09
Kota Surabaya,2021,5.23
Kota Batu,2021,4.09
Pandeglang,2021,10.72
Lebak,2021,10.29
Tangerang,2021,7.12
Serang,2021,5.49
Kota Tangerang,2021,5.93
Kota Cilegon,2021,4.24
Kota Serang,2021,6.79
Kota Tangerang Selatan,2021,2.57
Jembrana,2021,5.06
Tabanan,2021,5.12
Badung,2021,2.62
Gianyar,2021,4.85
Klungkung,2021,5.64
Bangli,2021,5.09
Karangasem,2021,6.78
Buleleng,2021,6.12
Kota Denpasar,2021,2.96
Lombok Barat,2021,14.47
Lombok Tengah,2021,13.44
Lombok Timur,2021,15.38
Sumbawa,2021,13.91
Dompu,2021,12.6
Bima,2021,14.88
Sumbawa Barat,2021,13.54
Lombok Utara,2021,27.04
Kota Mataram,2021,8.65
Kota Bima,2021,8.88
Sumba Barat,2021,28.39
Sumba Timur,2021,29.68
Kupang,2021,22.98
Timor Tengah Selatan,2021,26.64
Timor Tengah Utara,2021,22.62
Belu,2021,15.68
Alor,2021,21.09
Lembata,2021,26.21
Flores Timur,2021,11.14
Sikka,2021,13.35
Ende,2021,24.13
Ngada,2021,12.58
Manggarai,2021,20.48
Rote Ndao,2021,28.08
Manggarai Barat,2021,17.92
Sumba Tengah,2021,34.27
Sumba Barat Daya,2021,28.18
Nagekeo,2021,12.91
Manggarai Timur,2021,26.5
Sabu Raijua,2021,30.13
Malaka,2021,16.33
Kota Kupang,2021,9.17
Sambas,2021,7.66
Bengkayang,2021,6.48
Landak,2021,10.99
Mempawah,2021,5.18
Sanggau,2021,4.55
Ketapang,2021,10.13
Sintang,2021,9.28
Kapuas Hulu,2021,8.93
Sekadau,2021,6.26
Melawi,2021,12.01
Kayong Utara,2021,9.33
Kubu Raya,2021,4.34
Kota Pontianak,2021,4.58
Kota Singkawang,2021,4.83
Kotawaringin Barat,2021,3.95
Kotawaringin Timur,2021,5.91
Kapuas,2021,5.35
Barito Selatan,2021,4.62
Barito Utara,2021,5.61
Sukamara,2021,3.66
Lamandau,2021,3.56
Seruyan,2021,7.22
Katingan,2021,5.25
Pulang Pisau,2021,4.24
Gunung Mas,2021,5.35
Barito Timur,2021,6.38
Murung Raya,2021,6.15
Kota Palangka Raya,2021,3.75
Tanah Laut,2021,4.57
Kotabaru,2021,4.86
Banjar,2021,3.04
Barito Kuala,2021,5.11
Tapin,2021,3.6
Hulu Sungai Selatan,2021,4.84
Hulu Sungai Tengah,2021,6.18
Hulu Sungai Utara,2021,6.83
Tabalong,2021,6.27
Tanah Bumbu,2021,4.82
Balangan,2021,6.07
Kota Banjarmasin,2021,4.89
Kota Banjar Baru,2021,4.4
Paser,2021,9.73
Kutai Barat,2021,10.24
Kutai Kartanegara,2021,7.99
Kutai Timur,2021,9.81
Berau,2021,5.88
Penajam Paser Utara,2021,7.61
Mahakam Ulu,2021,11.9
Kota Balikpapan,2021,2.89
Kota Samarinda,2021,4.99
Kota Bontang,2021,4.62
Malinau,2021,7.3
Bulungan,2021,10.03
Tana Tidung,2021,5.15
Nunukan,2021,6.79
Kota Tarakan,2021,6.71
Bolaang Mongondow,2021,7.58
Minahasa,2021,7.67
Kepulauan Sangihe,2021,11.02
Kepulauan Talaud,2021,9
Minahasa Selatan,2021,9.37
Minahasa Utara,2021,7.11
Bolaang Mongondow Utara,2021,8.03
Siau Tagulandang Biaro,2021,8.94
Minahasa Tenggara,2021,12.47
Bolaang Mongondow Selatan,2021,12.85
Bolaang Mongondow Timur,2021,6.1
Kota Manado,2021,6.19
Kota Bitung,2021,6.43
Kota Tomohon,2021,5.69
Kota Kotamobagu,2021,5.74
Banggai Kepulauan,2021,13.72
Banggai,2021,7.83
Morowali,2021,13.75
Poso,2021,15.92
Donggala,2021,16.73
Toli-Toli,2021,13.51
Buol,2021,14.06
Parigi Moutong,2021,15.28
Tojo Una-Una,2021,16.6
Sigi,2021,13.05
Banggai Laut,2021,14.17
Morowali Utara,2021,13.9
Kota Palu,2021,7.17
Kepulauan Selayar,2021,12.45
Bulukumba,2021,7.43
Bantaeng,2021,9.41
Jeneponto,2021,14.28
Takalar,2021,8.25
Gowa,2021,7.54
Sinjai,2021,8.84
Maros,2021,9.57
Pangkajene dan Kepulauan,2021,14.28
Barru,2021,8.68
Bone,2021,10.52
Soppeng,2021,7.53
Wajo,2021,6.46
Sidenreng Rappang,2021,5.04
Pinrang,2021,8.81
Enrekang,2021,12.47
Luwu,2021,12.53
Tana Toraja,2021,12.27
Luwu Utara,2021,13.59
Luwu Timur,2021,6.94
Toraja Utara,2021,11.99
