Kabupaten,Tahun,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
Murung Raya,2021,0.472
Kota Palangka Raya,2021,0.224
Tanah Laut,2021,0.342
Kotabaru,2021,0.429
Banjar,2021,0.373
Barito Kuala,2021,0.275
Tapin,2021,0.364
Hulu Sungai Selatan,2021,0.328
Hulu Sungai Tengah,2021,0.263
Hulu Sungai Utara,2021,0.33
Tabalong,2021,0.298
Tanah Bumbu,2021,0.421
Balangan,2021,0.395
Kota Banjarmasin,2021,0.206
Kota Banjar Baru,2021,0.206
Paser,2021,0.337
Kutai Barat,2021,0.416
Kutai Kartanegara,2021,0.294
Kutai Timur,2021,0.371
Berau,2021,0.308
Penajam Paser Utara,2021,0.333
Mahakam Ulu,2021,0.337
Kota Balikpapan,2021,0.131
Kota Samarinda,2021,0.224
Kota Bontang,2021,0.218
Malinau,2021,0.375
Bulungan,2021,0.293
Tana Tidung,2021,0.341
Nunukan,2021,0.352
Kota Tarakan,2021,0.221
Bolaang Mongondow,2021,0.38
Minahasa,2021,0.335
Kepulauan Sangihe,2021,0.223
Kepulauan Talaud,2021,0.252
Minahasa Selatan,2021,0.312
Minahasa Utara,2021,0.289
Bolaang Mongondow Utara,2021,0.383
Siau Tagulandang Biaro,2021,0.236
Minahasa Tenggara,2021,0.387
Bolaang Mongondow Selatan,2021,0.38
Bolaang Mongondow Timur,2021,0.432
Kota Manado,2021,0.177
Kota Bitung,2021,0.299
Kota Tomohon,2021,0.267
Kota Kotamobagu,2021,0.27
Banggai Kepulauan,2021,0.387
Banggai,2021,0.368
Morowali,2021,0.348
Poso,2021,0.327
Donggala,2021,0.36
Toli-Toli,2021,0.356
Buol,2021,0.292
Parigi Moutong,2021,0.379
