Kabupaten,Tahun,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten_kota
Katingan,2021,6.54
Pulang Pisau,2021,8.98
Gunung Mas,2021,5.53
Barito Timur,2021,10.55
Murung Raya,2021,11.29
Kota Palangka Raya,2021,7.89
Tanah Laut,2021,2.71
Kotabaru,2021,2.39
Banjar,2021,2.81
Barito Kuala,2021,3.52
Tapin,2021,2.82
Hulu Sungai Selatan,2021,3.7
Hulu Sungai Tengah,2021,4.52
Hulu Sungai Utara,2021,4.23
Tabalong,2021,2.26
Tanah Bumbu,2021,2.01
Balangan,2021,2.96
Kota Banjarmasin,2021,2.11
Kota Banjar Baru,2021,2.13
Paser,2021,15.37
Kutai Barat,2021,14.2
Kutai Kartanegara,2021,14.41
Kutai Timur,2021,10.9
Berau,2021,12.3
Penajam Paser Utara,2021,16.6
Mahakam Ulu,2021,10.76
Kota Balikpapan,2021,8.3
Kota Samarinda,2021,13.51
Kota Bontang,2021,9.84
Malinau,2021,16.35
Bulungan,2021,13.63
Tana Tidung,2021,12.2
Nunukan,2021,16.8
Kota Tarakan,2021,8.17
Bolaang Mongondow,2021,7.25
Minahasa,2021,7.32
Kepulauan Sangihe,2021,10.22
Kepulauan Talaud,2021,5.88
Minahasa Selatan,2021,9.48
Minahasa Utara,2021,6.91
Bolaang Mongondow Utara,2021,6.26
Siau Tagulandang Biaro,2021,9.55
Minahasa Tenggara,2021,8
Bolaang Mongondow Selatan,2021,8.4
Bolaang Mongondow Timur,2021,6.92
Kota Manado,2021,5.26
Kota Bitung,2021,5.28
Kota Tomohon,2021,5.43
Kota Kotamobagu,2021,5.37
Banggai Kepulauan,2021,16.14
Banggai,2021,11.91
Morowali,2021,7.03
Poso,2021,9.29
Donggala,2021,9.96
Toli-Toli,2021,14.3
Buol,2021,10.44
Parigi Moutong,2021,10.63
Tojo Una-Una,2021,9.61
Sigi,2021,12.56
Banggai Laut,2021,11.91
Morowali Utara,2021,8.75
Kota Palu,2021,7.28
Kepulauan Selayar,2021,9.72
Bulukumba,2021,10.64
Bantaeng,2021,8
Jeneponto,2021,11.28
Takalar,2021,10.07
Gowa,2021,7.7
Sinjai,2021,7.43
Maros,2021,6.27
Pangkajene dan Kepulauan,2021,6.6
Barru,2021,10.39
Bone,2021,12.09
Soppeng,2021,14.61
Wajo,2021,8.81
